activity_id,lead_id,channel,attempt_number,activity_date,response_received,response_type,meeting_booked
A000001,L0001,Email,1,2024-10-22,No,No Response,No
A000002,L0001,LinkedIn,1,2024-09-21,No,No Response,No
A000003,L0001,Cold Call,1,2024-09-28,No,No Response,No
A000004,L0001,Email,2,2024-09-11,No,No Response,No
A000005,L0001,LinkedIn,2,2024-09-05,No,No Response,No
A000006,L0001,Cold Call,2,2024-10-09,No,No Response,No
A000007,L0001,Email,3,2024-10-14,No,No Response,No
A000008,L0001,LinkedIn,3,2024-10-20,No,No Response,No
A000009,L0001,Cold Call,3,2024-10-27,No,No Response,No
A000010,L0001,Email,4,2024-10-02,No,No Response,No
A000011,L0001,LinkedIn,4,2024-09-09,No,No Response,No
A000012,L0001,Cold Call,4,2024-09-09,Yes,Interested,No
A000013,L0002,Email,1,2024-09-03,No,No Response,No
A000014,L0002,LinkedIn,1,2024-09-17,No,No Response,No
A000015,L0002,Cold Call,1,2024-09-13,No,No Response,No
A000016,L0002,Email,2,2024-09-01,No,No Response,No
A000017,L0002,LinkedIn,2,2024-09-08,No,No Response,No
A000018,L0002,Cold Call,2,2024-10-01,No,No Response,No
A000019,L0002,Email,3,2024-09-29,No,No Response,No
A000020,L0002,LinkedIn,3,2024-10-30,No,No Response,No
A000021,L0002,Cold Call,3,2024-10-23,Yes,Not Now,No
A000022,L0003,Email,1,2024-09-23,No,No Response,No
A000023,L0003,LinkedIn,1,2024-10-08,No,No Response,No
A000024,L0003,Cold Call,1,2024-09-13,No,No Response,No
A000025,L0003,Email,2,2024-10-29,No,No Response,No
A000026,L0003,LinkedIn,2,2024-09-11,No,No Response,No
A000027,L0003,Cold Call,2,2024-10-10,No,No Response,No
A000028,L0003,Email,3,2024-09-29,No,No Response,No
A000029,L0003,LinkedIn,3,2024-10-16,No,No Response,No
A000030,L0003,Cold Call,3,2024-09-12,No,No Response,No
A000031,L0003,Email,4,2024-10-20,No,No Response,No
A000032,L0003,LinkedIn,4,2024-09-12,No,No Response,No
A000033,L0003,Cold Call,4,2024-09-03,Yes,Interested,Yes
A000034,L0004,Email,1,2024-09-24,No,No Response,No
